establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
Atlas - Northglenn|Atlas Roofing Corporation|CO|1|2|31|65406|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Nations Roof of Indiana LLC|Nations Roof|IN|1|2|21|59202|822431871|'Nations Roof', 'Nations Roof LLC'|nations roof|true
Lutz Roofing Inc|Lutz Roofing Inc|MI|1|2|209|300833|382423268|'Lutz Roofing Co. Inc.'|lutz roofing|false
RW Screw LLC|Precision Capital LTD|OH|1|3|220|467476||'Precision Construction Services'|precision|false
Peterson Contractors Inc|Peterson Contractors Inc|IA|1|3|492|1307055|421489470|'Peterson Consulting Group'|peterson|false
Commercial Roofers, Inc.|Commercial Roofers, Inc.|NV|1|2|319|394252|880371026|'Commercial Roofers Inc.'|commercial roofers|false
Peterson Cotractors, Inc.|Peterson Contractors Inc.|IA|1|3|492|1307055|420921654|'Peterson Consulting Group'|peterson|false
Rio Roofing, Inc.|Rio Roofing, Inc.|TX|1|2|35|74413|742427440|'Rio Roofing', 'Rio Roofing Inc.'|rio roofing|true
PAGE, INC d/b/a Save-A-Lot|PAGE, INC|KY|1|2|25|36927|611209618|'Page'|page|false
Parsons Company INC|Parsons Company INC|IL|1|2|220|416121||'Parsons Corporation'|parsons|false
Weathercraft, Inc.|Weathercraft, Inc.|MO|1|2|31|52704|431206531|'Weathercraft Inc.'|weathercraft|false
Millwork & Panel LLC- Social Circle|CertainTeed LLC|GA|1|2|55|94809|320613145|'CertainTeed LLC'|certainteed|false
Myers Industries South Bend|Myers Industries|IN|1|2|120|247460||'Myers Consulting'|myers|false
Crabapple Roofing Contractors LLC|Crabapple Roofing Contractors LLC|GA|1|2|29|60320|272382332|'Crabapple Roofing Contractors LLC'|crabapple roofing|false
Unilock New York Inc. Boston Division|Unilock|MA|1|2|65|124505|980103212|'Unilock'|unilock|false
Owens Corning|Owens Corning|MO|1|2|209|438415|250729265|'Owens Corning'|owens corning|false
Weathercraft Co. of Lincoln|Weathercraft Co. of Lincoln|NE|1|2|49|87616|470527585|'Weathercraft Co. of Lincoln'|weathercraft co. of lincoln|false
