company_name|ein|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024|pitchbook_list_website|pitchbook_list_company_name|top100_company_name|nrca_list_company_name|affinity_organizations_20250915_141926_company_name|osha_company_name|stripped_company_name
Ark Roofing|450477569|0|0|0|13|15|0|0|0|27040|600||||Ark Roofing Co. Inc.||Ark Roofing|ark roofing
Arkra, Inc.|341312927|14|0|0|0|0|22792|0|0|0|0||||||Arkra, Inc.|arkra
Arrow Roofing and Supply Inc.|381893198|70|53|50|60|0|107669|97640|94336|106190|0||||||Arrow Roofing and Supply Inc.|arrow roofing & supply
Arry's Roofing|593014507|160|159|162|200|215|332800|351520|355800|416000|447200||||||Arry's Roofing|arry's roofing
Aspen Contracting, Inc.|510587434|198|215|234|235|144|396000|430250|444600|470000|5760|||Aspen Contracting, Inc.|Aspen Contracting Inc.||Aspen Contracting, Inc.|aspen contracting
Associated Roofing Professionals, LLC|351844713|0|33|0|46|18|0|47699|0|64984|28890||||Associated Roofing Professionals Inc.||Associated Roofing Professionals, LLC|associated roofing professionals
Atlantic Roofing II of Vero Beach, Inc.|320340502|39|41|42|39|0|49516|65351|82308|73610|0||||||Atlantic Roofing II of Vero Beach, Inc.|atlantic roofing ii of vero beach
Avery Roofing Services|455345771|0|0|0|40|0|0|0|0|80000|0||||||Avery Roofing Services|avery roofing
Axiom Division 7|261489962|0|141|274|186|190|0|293917|384949|365959|404556||||Axiom Division 7 Inc.||Axiom Division 7|axiom division 7
Axiom Roofing LLC|862141500|0|0|38|32|36|0|0|50893|63573|86027||||||Axiom Roofing LLC|axiom roofing
Axiom Roofing Oregon LLC|862739917|0|0|22|26|42|0|0|8376|41000|78293||||||Axiom Roofing Oregon LLC|axiom roofing oregon
B  B Sheet Metal and Roofing Inc|411668760|0|24|40|55|20|0|41260|41091|4319350|34227||||||B  B Sheet Metal and Roofing Inc|b b sheet metal & roofing
B  M ROOFING, LLC.|822736093|28|34|37|66|41|57647|70395|72511|127896|74537||||||B  M ROOFING, LLC.|b m roofing
B & B ROOFING, INC.|630885733|35|32|32|30|28|60535|56760|53220|51900|46140||||||B & B ROOFING, INC.|b & b roofing
