company_name|osha_company_name|annual_average_employees|total_hours_worked|ein|stripped_company_name|pitchbook_list_company_name|pitchbook_list_website|top100_company_name|nrca_list_company_name
Bone Dry Roofing Inc Punta Gorda|Bone Dry Roofing Inc Punta Gorda|4|5335|853199207|bone dry roofing inc punta gorda||||
Bone Dry Roofing, Colorado, Inc.|Bone Dry Roofing, Colorado, Inc.|11|11329|850896420|bone dry roofing colorado||||
Boone Brothers Roofing|Boone Brothers Roofing|80|151111|352166626, 352197691|boone brothers roofing||||
Borsche Roofing Professionals Inc|Borsche Roofing Professionals Inc|16|28628|202357906|borsche roofing professionals||||
Bowhead Construction, LLC|Bowhead Construction, LLC|34|41785|833681354|bowhead||||
Boyce's Roofing & Repair|Boyce's Roofing & Repair|40|64604|812361795|boyce's roofing & repair||||Boyce's Roofing and Repair
Brandle Roofing and Sheet Metal|Brandle Roofing and Sheet Metal|23|47381|382446283|brandle roofing & sheet metal||||Brandle Roofing & Sheet Metal Co.
Brazos Commercial Roofing|Brazos Commercial Roofing|29|58951|821863311|brazos commercial roofing||||Brazos Commercial Roofing LLC
Brazos Thermals Systems Inc.|Brazos Thermals Systems Inc.|47|75200|853600645|brazos thermals||||
Brazos Urethane Inc.|Brazos Urethane Inc.|165|380067|742466058|brazos urethane||||Brazos Urethane Inc
Buck Roofing & Construction, LLC.|Buck Roofing & Construction, LLC.|48|90771|431926624|buck roofing||||Buck Roofing & Construction LLC
Building Envelope Solutions|Building Envelope Solutions|40|58881|921500237|building envelope||||Building Envelope Contractors Inc.
Building Technicians Corporation|Building Technicians Corporation|23|36993|341187227|building technicians||||Building Technicians Corporation
Bulldog Sales LLC dba Bulldog Roofing|Bulldog Sales LLC dba Bulldog Roofing|41|82000|474528029|bulldog sales llc dba bulldog roofing||||
Burns and Scalo Roofing Company|Burns and Scalo Roofing Company|64|115156|251145220|burns & scalo roofing|||Burns & Scalo Roofing|
Burns and Scalo Roofing Ohio|Burns and Scalo Roofing Ohio|45|78203|621827083|burns & scalo roofing ohio||||
C & C Roofing & Supply, Inc.|C & C Roofing & Supply, Inc.|35|47936|860432684|c & c roofing & supply||||
C & S Roofing Company|C & S Roofing Company|85|219638|592009879|c & s roofing||||C&S Roofing
C&N Siding and Gutters|C&N Siding and Gutters|100|85992|921346594|c & n siding & gutters||||
C.G.R. CONSTRUCTION CO. INC.|C.G.R. CONSTRUCTION CO. INC.|45|91256|650654971|c.g.r||||
C.O. Beck & Sons|C.O. Beck & Sons|20|34000|010246859|c.o. beck & sons||||C.O. Beck & Sons Inc.
C.R.M., Inc.|C.R.M., Inc.|43|77966|341669889|c.r.m||||
C234 Inc|C234 Inc|29|23507|453219286|c234||||
CABLE STRONG ENTERPRISES, LLC|CABLE STRONG ENTERPRISES, LLC|29|48908|463992960|cable strong||||
CAMBER BRANDS LLC|CAMBER BRANDS LLC|23|41538|883819653|camber brands||||
CARIBBEAN ROOFING  CONSTRUCTION INC.|CARIBBEAN ROOFING  CONSTRUCTION INC.|22|12730|200761479|caribbean roofing||||
CCA Contracting Group|CCA Contracting Group|47|87142|824585882|cca contracting||||
CCA Roofing Corp|CCA Roofing Corp|20|10961|873374148|cca roofing||||
CEI Michigan, LLC|CEI Michigan, LLC|129|228157|203259536|cei michigan||||
CENTRAL ROOFING LLC|CENTRAL ROOFING LLC|61|122539|454310902|central roofing|Central Roofing|www.centralroofing.co.uk||Central Roofing LLC
CFS Roofing|CFS Roofing|236|425044|274953359|cfs roofing|CFS Roofing Services|www.cfsroofing.com||CFS Roofing Services
CHERRY ROOFING INC|CHERRY ROOFING INC|35|68361|201148322|cherry roofing||||Cherry Roofing Enterprises Inc.
CHRIS ANDERSEN ROOFING, A TECTA AMERICA COMPANY, LLC|CHRIS ANDERSEN ROOFING, A TECTA AMERICA COMPANY, LLC|153|144351|841987343|chris andersen roofing a tecta america||||Chris Andersen Roofing a Tecta America Company
CIRSCO,  Commercial Industrial Roof Services Company, Inc.|CIRSCO,  Commercial Industrial Roof Services Company, Inc.|11|18365|510426839|cirsco commercial industrial roof||||
