company_name|osha_company_name|annual_average_employees|total_hours_worked|ein|stripped_company_name|pitchbook_list_company_name|pitchbook_list_website|top100_company_name|nrca_list_company_name
Cochran Exteriors|Cochran Exteriors|35|72800|271876046|cochran exteriors||||
Coffey Bros. Inc.|Coffey Bros. Inc.|19|40825|222200935|coffey bros||||
Coffey Contracting Company, Inc.|Coffey Contracting Company, Inc.|23|33131|251900926|coffey contracting||||
Cole Roofing Company, Inc|Cole Roofing Company, Inc|88|165255|520599184|cole roofing||||Cole Roofing Co. Inc.
Collins Roofing Inc.|Collins Roofing Inc.|33|58988|870306507|collins roofing||||Collins Roofing Inc.
Collis Roofing, Inc.|Collis Roofing, Inc.|175|364000|593522977|collis roofing|Collis Roofing|www.collisroofing.com|Collis Roofing, Inc.|
Colonial Roofing, Inc.|Colonial Roofing, Inc.|239|321055|592754398|colonial roofing||||Colonial Roofing Inc.
Colorado Moisture Control, Inc.|Colorado Moisture Control, Inc.|78|177871|840866575|colorado moisture control||||Colorado Moisture Control Inc.
Combined Roofing Services LLC|Combined Roofing Services LLC|84|151312|261144132|combined roofing||||
Commercial Roofers, Inc.|Commercial Roofers, Inc.|230|426377|880371026|commercial roofers|||Commercial Roofers, Inc.|Commercial Roofers Inc.
Commercial Roofing & Waterproofing Hawaii, Inc.|Commercial Roofing & Waterproofing Hawaii, Inc.|131|240229|912175749, 990301791|commercial roofing & waterproofing hawaii|commercial roofing & waterproofing hawaii|commercialroofinginc.com||Commercial Roofing & Waterproofing Hawaii Inc.
Commercial Roofing A Tecta America Company|Commercial Roofing A Tecta America Company|12|26708|842696369|commercial roofing a tecta america||||Commercial Roofing a Tecta America Company LLC
Commercial Roofing Concepts, Inc.|Commercial Roofing Concepts, Inc.|10|25847|270529934|commercial roofing concepts||||
Company Building Maintenance|Company Building Maintenance|60|103810||company building maintenance||||
Consolidated Enterprises, Inc.|Consolidated Enterprises, Inc.|29|58627|920065205|consolidated||||Consolidated Enterprises Inc.
Cool Roof Roam and Coatings|Cool Roof Roam and Coatings|35|72800||cool roof roam & coatings||||
Cooper Roofing & Solar Inc.|Cooper Roofing & Solar Inc.|11|23909|270365569|cooper roofing & solar||||Cooper Roofing & Solar INC
Corey Management Group, LLC|Corey Management Group, LLC|103|206770|464045602|corey|Corey Construction|www.coreyconstruction.net|Corey Construction|Corey Construction LLC
Cornerstone Roofing, Inc.|Cornerstone Roofing, Inc.|35|66124|911712646|cornerstone roofing||||Cornerstone Roofing & Construction
Cotton Holdings, Inc.|Cotton Holdings, Inc.|83|94445||cotton|Cotton Holdings|www.cottonholdings.com||
Couto Construction|Couto Construction|46|66516|883637523|couto||||Couto Construction
Covenant Roofing & Construction,Inc.|Covenant Roofing & Construction,Inc.|306|458397|454617202|covenant roofing & constructioninc||||
Cowboys Roofing|Cowboys Roofing|95|5446652|825073887|cowboys roofing||||
Crafts Inc.|Crafts Inc.|72|126344|390752484|crafts||||
Crawford Roofing Experts|Crawford Roofing Experts|16|31041|320359884|crawford roofing experts||||Crawford Roofing Experts LLC
Crego Roofing Of New Mexico LLC|Crego Roofing Of New Mexico LLC|6|10283|844364480|crego roofing of new mexico||||
Crocker Architectural Sheet Metal Co., Inc.|Crocker Architectural Sheet Metal Co., Inc.|42|76980|043128742|crocker architectural sheet metal||||
Crown Roofing & Waterproofing|Crown Roofing & Waterproofing|250|1900000|473584356|crown roofing & waterproofing||||
Crowther Roofing|Crowther Roofing|1124|1919426|650653836|crowther roofing||||
Crowther Roofing and Sheet Metal, Inc.|Crowther Roofing and Sheet Metal, Inc.|50|70310||crowther roofing & sheet metal|Crowther Roofing & Sheet Metal|www.crowtherroofing.com||Crowther Roofing & Sheet Metal Inc.
Cuddy Roofing Company Inc|Cuddy Roofing Company Inc|24|42499|251664799|cuddy roofing||||
Culbertson Company of Virginia,LLC|Culbertson Company of Virginia,LLC|177|333728|141873375|culbertson company of virginiallc||||
Curtis C Roofing|Curtis C Roofing|60|91058|815469280|curtis c roofing||||
Curtis-McKinley Roofing & Sheet Metal Inc.|Curtis-McKinley Roofing & Sheet Metal Inc.|35|64498|752083478|curtis-mckinley roofing & sheet metal||||
Custofoam Corp.|Custofoam Corp.|24|40355|391178726|custofoam||||Custofoam Corp.
Custom Coatings, Inc.|Custom Coatings, Inc.|29|50313|561921133|custom coatings||||
Custom Installations, Inc|Custom Installations, Inc|25|44300|363846505|custom installations||||
D Peck Roofing Inc|D Peck Roofing Inc|37|17699|650738224|d peck roofing||||
D&L Roofing, LLC|D&L Roofing, LLC|65|95371|272001551|d & l roofing||||D&L Roofing LLC
DAMSCHRODER ROOFING INC|DAMSCHRODER ROOFING INC|61|116520|342037110|damschroder roofing||||Damschroder Roofing LLC
DB2 Services Inc|DB2 Services Inc|90|93467|264075785|db2||||DB2 Services Inc.
DCG Roofing Solutions, Inc|DCG Roofing Solutions, Inc|123|135539|205216594|dcg roofing||||DCG Roofing Solutions
DDP Roofing Services Inc.|DDP Roofing Services Inc.|110|221153|201214720|ddp roofing||||DDP Roofing Services Inc.
DE MELLO ROOFING INC|DE MELLO ROOFING INC|28|36899|942221475|de mello roofing||||
DI PASQUA CONSTRUCTION, INC.|DI PASQUA CONSTRUCTION, INC.|16|23396|203128070|di pasqua||||
DIAMOND ROOFING|DIAMOND ROOFING|82|179088|465371765|diamond roofing||||Diamond Roofing Systems
DKG & Associates Inc.|DKG & Associates Inc.|170|347714|742816319|dkg||||DKG & Associates Inc.
DLJ Commercial Roofing LLC|DLJ Commercial Roofing LLC|18|16676|271337110|dlj commercial roofing||||
DR Martineau Construction Inc|DR Martineau Construction Inc|48|33189|411821411|dr martineau||||
DR Roof Inc|DR Roof Inc|45|2040|371781779|dr roof||||
DRS of Central Florida, Inc.|DRS of Central Florida, Inc.|20|39766|593327076|drs of central florida||||
DSRC Services LLC|DSRC Services LLC|50|131118|870843373|dsrc||||
Dakota Corp dba Jessie Bryant Roofing|Dakota Corp dba Jessie Bryant Roofing|50|115165||dakota corp dba jessie bryant roofing||||
Dalex Construction Inc|Dalex Construction Inc|20|34909|352250654|dalex||||
Daniel Best Roofing  Inc|Daniel Best Roofing  Inc|10|4160|883014418|daniel best roofing||||
Davco Roofing & Sheet Metal|Davco Roofing & Sheet Metal|63|82359|263102788|davco roofing & sheet metal|Davco Roofing & Sheet Metal|www.davcoroofing.com||DAVCO Roofing & Sheet Metal Inc.
David J Marley Roofing Contractors Inc|David J Marley Roofing Contractors Inc|21|42251|455407399|david j marley roofing||||
David Lundberg Bldg & Roofing Contractor|David Lundberg Bldg & Roofing Contractor|27|58506|542131055|david lundberg bldg & roofing contractor||||
David Lundberg Building & Roofing Contractor|David Lundberg Building & Roofing Contractor|27|58506|526111824|david lundberg building & roofing contractor|David Lundberg Building & Roofing Contractor|www.lundbergroofing.com||
David M. Maines Associates, Inc.|David M. Maines Associates, Inc.|98|183422|232581270|david m. maines||||David M. Maines Associates Inc.
David Swihart Roofing Inc|David Swihart Roofing Inc|28|49385|454320614|david swihart roofing||||
Davis Roofing & Sheetmetal, LLC|Davis Roofing & Sheetmetal, LLC|23|43534|461564244|davis roofing & sheetmetal||||Davis Roofing and Sheetmetal LLC
Daybreak, Inc.|Daybreak, Inc.|23|50111|205241505|daybreak||||
Dayco, Inc.|Dayco, Inc.|17|30823|030340853|dayco||||Dayco Inc.
DePinho Roofing, Inc.|DePinho Roofing, Inc.|70|135735|330589690|depinho roofing||||DePinho Roofing
DeckTight Roofing Services Inc|DeckTight Roofing Services Inc|102|229967|650160298|decktight roofing||||
Deer Park Roofing|Deer Park Roofing|130|304203|311803193|deer park roofing|Deer Park Roofing|www.deerparkroofing.com||Deer Park Roofing, LLC
Delta Contracting Services Inc.|Delta Contracting Services Inc.|43|68399|223213749|delta contracting||||Delta Contracting Services Inc.
Delta Innovative Services|Delta Innovative Services|145|229963|200820115|delta innovative||||Delta Innovative Services
Detroit Cornice and Slate Company, Inc.|Detroit Cornice and Slate Company, Inc.|14|27379|381960946|detroit cornice & slate||||
Detwiler Roofing LLC|Detwiler Roofing LLC|51|87987||detwiler roofing||||Detwiler Roofing LLC
Diablo Roofing Inc|Diablo Roofing Inc|120|249600|463056253|diablo roofing||||Diablo Roofing, Inc.
Dils Roofing|Dils Roofing|45|78620|330492050|dils roofing||||
Diverse Construction Service LLC|Diverse Construction Service LLC|14|1003375|371690357|diverse construction service||||
Diversified Roofing|Diversified Roofing|400|752599|860599690|diversified roofing|Diversified Roofing|www.diversifiedroofing.com||Diversified Roofing
Division 7 Building Contractors Inc.|Division 7 Building Contractors Inc.|63|93114|203241913|division 7 building||||
Division 7 Roofing|Division 7 Roofing|64|158479|311184359|division 7 roofing||||Division 7 Roofing
Division 7 Services, Inc|Division 7 Services, Inc|71|125207||division 7||||
Dixie Roofing, Inc.|Dixie Roofing, Inc.|200|513457|621136030|dixie roofing||||Dixie Roofing Inc.
Don Kennedy Roofing|Don Kennedy Roofing|100|208000|621387025|don kennedy roofing||||Don Kennedy Roofing Co. Inc.
Donald B. Smith, Inc.|Donald B. Smith, Inc.|35|95913|231483449|donald b. smith||||Donald B. Smith Inc.
Donaly Roofing & Construction, Inc|Donaly Roofing & Construction, Inc|8|15360|364269912|donaly roofing||||
Douglass Colony Group Inc.|Douglass Colony Group Inc.|376|735913||douglass colony||||Douglass Colony Group
Dudeck Roofing & Sheet Metal, Inc.|Dudeck Roofing & Sheet Metal, Inc.|39|60144|351954551|dudeck roofing & sheet metal||||
Dunmore Roofing & Supply Co. Inc.|Dunmore Roofing & Supply Co. Inc.|35|59663|231736824|dunmore roofing & supply||||
Dwayne Nash Industries Inc|Dwayne Nash Industries Inc|101|201625|261442514, 911784678|dwayne nash||||
Dynamic Holdings|Dynamic Holdings|47|83776|832750109|dynamic|Dynamic National|www.dynamicnational.com||Dynamic National
Dynamic Roofing Concepts Inc.|Dynamic Roofing Concepts Inc.|22|34924|204094607|dynamic roofing concepts|DYNAMIC ROOFING CONCEPTS|dynamicroofingconcepts.com||
E M Management Services, Inc.|E M Management Services, Inc.|27|44946|341955850|e m||||
EDA Contractors, Inc|EDA Contractors, Inc|26|51935|833073794|eda||||
EMC CONSTRUCTION, CORP|EMC CONSTRUCTION, CORP|27|18743|824469539|emc||||
EQUITY ROOFING LLC|EQUITY ROOFING LLC|28|36231|843902105|equity roofing||||
EXTREME FLORIDA ROOFING LLC|EXTREME FLORIDA ROOFING LLC|72|112685|873057048|extreme florida roofing||||Extreme Florida Roofing
EZ Exteriors LLC|EZ Exteriors LLC|25|23919|453810941|ez exteriors||||
Eagle Rivet Roof Services Corporation|Eagle Rivet Roof Services Corporation|61|114518|421553501|eagle rivet roof||||
East Moline Sheet Metal Co., Inc.|East Moline Sheet Metal Co., Inc.|38|65920|200312596|east moline sheet metal||||
East Muskegon Roofing and Sheet Metal Co. Inc|East Muskegon Roofing and Sheet Metal Co. Inc|70|154366|381469436|east muskegon roofing & sheet metal||||East Muskegon Roofing & Sheet Metal Co. Inc.
Eberhard|Eberhard|145|22470|953071086|eberhard|Eberhard|www.eberhardco.com||
Eberhard A Tecta America Company, LLC.|Eberhard A Tecta America Company, LLC.|138|265396|933986475|eberhard a tecta america||||Eberhard, a Tecta America Company, LLC
Eberhard Southwest Roofing, A Tecta America Company LLC|Eberhard Southwest Roofing, A Tecta America Company LLC|71|117252|933999053|eberhard southwest roofing a tecta america||||Eberhard Southwest Roofing A Tecta America Company
Eberhard Southwest Roofing, Inc.|Eberhard Southwest Roofing, Inc.|44|7343|880330070|eberhard southwest roofing||||
Eby Exteriors|Eby Exteriors|14|27989|231988847|eby exteriors||||
Economy Roofing & Insulating Co., Inc|Economy Roofing & Insulating Co., Inc|24|36000|420667583|economy roofing & insulating||||
Ed's Economy Roofing, LLC|Ed's Economy Roofing, LLC|18|31784|392066115|ed's economy roofing||||
Edge Roofing, Inc.|Edge Roofing, Inc.|33|44360|202088923|edge roofing||||
Edwards Roofing Company inc|Edwards Roofing Company inc|32|61883|591101925|edwards roofing||||Edwards Roofing Co. Inc.
Elens & Maichin Roofing & Sheet Metal, Inc.|Elens & Maichin Roofing & Sheet Metal, Inc.|33|59842|362807358|elens & maichin roofing & sheet metal||||Elens & Maichin Roofing & Sheet Metal Inc.
Elmer W. Davis, Inc|Elmer W. Davis, Inc|250|260723||elmer w. davis||||Elmer W. Davis Inc.
Elo Restoration INC DBA Elo Roofing INC|Elo Restoration INC DBA Elo Roofing INC|70|73465|464298926|elo restoration inc dba elo roofing||||
Elo Roofing Inc|Elo Roofing Inc|90|187001|464298926|elo roofing|Elo Roofing|www.eloroofing.com||
Emmons Roof Service, Inc.|Emmons Roof Service, Inc.|28|51006|954349721|emmons roof service||||
Empire Roofing Companies Inc|Empire Roofing Companies Inc|67|147126|752759310|empire roofing companies||||Empire Roofing Companies, Inc.
Empire Roofing Inc..|Empire Roofing Inc..|40|93003|464526366|empire roofing|Empire Roofing Services (Oxford)|empire-rs.co.uk||Empire Roofing, Inc.
Empire Roofing and Sheet Metal|Empire Roofing and Sheet Metal|37|72873|831519734|empire roofing & sheet metal||||
Empire Roofing of Georgia|Empire Roofing of Georgia|20|41600|271811195|empire roofing of georgia||||
Empire Roofing of Oklahoma|Empire Roofing of Oklahoma|40|72239|464038268|empire roofing of oklahoma||||Empire Roofing of Oklahoma, Inc.
Empire Roofing of Southeast|Empire Roofing of Southeast|80|186603|261887467|empire roofing of southeast||||
Empire Roofing of Tennessee, LLC|Empire Roofing of Tennessee, LLC|13|23850|621874337|empire roofing of tennessee||||
Encore Roofing,Inc.|Encore Roofing,Inc.|60|140799|010551453|encore roofinginc||||
Enterprise Roofing & Sheet Metal Company|Enterprise Roofing & Sheet Metal Company|98|132092|310569979|enterprise roofing & sheet metal||||
Enterprise Roofing Service, Inc.|Enterprise Roofing Service, Inc.|78|130849|941551712|enterprise roofing service||||
Erie Construction Mid-West LLC.|Erie Construction Mid-West LLC.|136255|2464071|341712631|erie construction mid-west||||
Esary Roofing & Siding Co Inc|Esary Roofing & Siding Co Inc|21|44188|911189270|esary roofing & siding||||
Eskola Roofing and Waterproofing, Inc|Eskola Roofing and Waterproofing, Inc|700|1020965||eskola roofing & waterproofing||||Eskola Roofing and Waterproofing LLC
Estep and Hessburg LLC|Estep and Hessburg LLC|4|8500|811840708|estep & hessburg||||
Estep and Hessburg LLC dba Proformance Roofing|Estep and Hessburg LLC dba Proformance Roofing|78|167000|811840708|estep & hessburg llc dba proformance roofing||||
Etheridge Roofing|Etheridge Roofing|15|31500|261619912|etheridge roofing||||
Etruscan Exteriors|Etruscan Exteriors|3|1920|811016054|etruscan exteriors||||
EverGuard Roofing, LLC|EverGuard Roofing, LLC|75|153026|850481655|everguard roofing||||Everguard Roofing
Evergreen Roofing of Oregon|Evergreen Roofing of Oregon|74|133427|931000622|evergreen roofing of oregon||||Evergreen Roofing of Oregon
F & G Roofing Company, LLC|F & G Roofing Company, LLC|28|31194|201878777|f & g roofing||||
F.J. Dahill|F.J. Dahill|32|61937|060314330|f.j. dahill||||
F.J.A. Christiansen Roofing Co., Inc|F.J.A. Christiansen Roofing Co., Inc|79|131440|391702267|f.j.a. christiansen roofing||||
FIDUS ROOFING & CONSTRUCTION|FIDUS ROOFING & CONSTRUCTION|34|68952|454293045|fidus roofing||||
FLORIDA ROOF-TECH CORP ROOFING DONE RIGHT GUARANTEED|FLORIDA ROOF-TECH CORP ROOFING DONE RIGHT GUARANTEED|26|51292|464408800|florida roof-tech corp roofing done right guaranteed||||
FOXHAVEN ROOFING GROUP LLC|FOXHAVEN ROOFING GROUP LLC|29|44917|823647265|foxhaven roofing||||
FW Walton|FW Walton|218|374712|760027651|fw walton||||
Farrell Roofing, Inc|Farrell Roofing, Inc|30|74279|208890407|farrell roofing|Farrell Roofing|farrellroofing.com|Farrell Roofing|Farrell Roofing Inc.
Feazel Inc|Feazel Inc|39|78728|311356520|feazel||||
Feazel Roofing LLC|Feazel Roofing LLC|25|50324|311356520|feazel roofing|Feazel Roofing|www.feazelinc.com||
Feazel Roofing, LLC - Kernersville|Feazel Roofing, LLC - Kernersville|1|1320|311356520|feazel roofing llc - kernersville||||
Feazel Roofing, LLC - Knoxville|Feazel Roofing, LLC - Knoxville|1|1080|311356520|feazel roofing llc - knoxville||||
Feeley, McAnespie, Inc.|Feeley, McAnespie, Inc.|19|34368|043234436|feeley mcanespie||||Feeley McAnespie Inc.
Ferguson Roofing and Exteriors|Ferguson Roofing and Exteriors|18|17360||ferguson roofing & exteriors||||
Fey Roofing and Sheet Metal|Fey Roofing and Sheet Metal|17|19697|271722556|fey roofing & sheet metal||||
Fidelity Roof Company|Fidelity Roof Company|66|132618|941326440|fidelity roof||||Fidelity Roof Co.
Findlay Vertex Roofing|Findlay Vertex Roofing|43|90000|934238438|findlay vertex roofing||||
Finger Lakes Roofing Technologies Inc.|Finger Lakes Roofing Technologies Inc.|9|3619|161543834|finger lakes roofing||||
Finger Lakes Service Group Inc.|Finger Lakes Service Group Inc.|30|50000|161447644|finger lakes service||||Finger Lakes Service Group Inc.
Firehouse Roofing|Firehouse Roofing|35|72800||firehouse roofing||||
First Quality Roofing|First Quality Roofing|15|26880|030429474|first quality roofing||||
Five Guys Services|Five Guys Services|115|255383|465229405|five guys||||
Florida Southern Roofing and Sheetmetal Inc|Florida Southern Roofing and Sheetmetal Inc|69|141628|650303979|florida southern roofing & sheetmetal||||
Florida's Best Roofing Inc|Florida's Best Roofing Inc|22|37927|141901085|florida's best roofing||||
Flynn|Flynn|1363|2725581|352506375, 471731825, 472296160|flynn||||
Fontaine Weatherproofing Inc.|Fontaine Weatherproofing Inc.|72|136097|204014128|fontaine weatherproofing||||Fontaine Weatherproofing LLC
Fort Wayne Roofing A Tecta America Company, LLC|Fort Wayne Roofing A Tecta America Company, LLC|50|96489|824410411|fort wayne roofing a tecta america||||Fort Wayne Roofing, A Tecta America Co
Foster Contracting, Inc.|Foster Contracting, Inc.|14|30011|901194237|foster contracting||||Foster Contracting, Inc.
Four Seasons Kanga Roof|Four Seasons Kanga Roof|65|120480|371532159|four seasons kanga roof||||Four Seasons Kanga Roof
Frank Fiala Roofing, Inc.|Frank Fiala Roofing, Inc.|21|44165|943227246|frank fiala roofing||||
Fraser Roofing LLC|Fraser Roofing LLC|60|88320|271166392|fraser roofing|||Fraser Roofing, LLC|
Freddy and Son LLC|Freddy and Son LLC|15|22040|821093128|freddy & son||||
Frisco, TX|Frisco, TX|27|54481|832750109|frisco tx||||
