establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
|Chris Andersen Roofing and Erecting||||||||chris andersen roofing and erecting|false
|Christianson Roofing||||||||christianson roofing|false
|Cincinnati Roofing Contractor||||||||cincinnati roofing contractor|false
|Circle L Roofing & General Contractors||||||||circle l roofing & general|false
|Citadel Roofing & Solar||||||||citadel roofing & solar|false
|Citrus Roofing Contractors||||||||citrus roofing|false
|City Roofing And Asphalt Services||||||||city roofing and asphalt|false
|CJ Roofing||||||||cj roofing|false
|Cj's Roofing||||||||cj's roofing|false
|Cladding & Roofing Contractors||||||||cladding & roofing|false
|Clark's Quality Roofing||||||||clark's quality roofing|false
|Clarke Building And Roofing Services||||||||clarke building and roofing|false
|Classic Roofing and Construction||||||||classic roofing and|false
|Clay Roofing Services||||||||clay roofing|false
|Clayton Roofing Contractor||||||||clayton roofing contractor|false
|CLC Commercial Roofing||||||||clc commercial roofing|false
|Clover Roofing Services||||||||clover roofing|false
|Cls Roofing Specialists||||||||cls roofing specialists|false
|Clydevalley Roofing & Cladding Services||||||||clydevalley roofing & cladding|false
|CMAC Roofing||||||||cmac roofing|false
|Cmh Leadwork And Roofing Services||||||||cmh leadwork and roofing|false
CMR CONSTRUCTION & ROOFING, LLC|CMR Construction & Roofing||1.00|2.00|112.00|126404.00|710873844|'CMR CONSTRUCTION & ROOFING, LLC'|cmr construction & roofing|false
|CNY Roofing||||||||cny roofing|false
|Coast To Coast Roofing & Building Contractors||||||||coast to coast roofing & building|false
|Coastal Construction Roofing & Restoration||||||||coastal construction roofing & restoration|false
COASTAL ROOFING INC.|Coastal Roofing Services||1.00|2.00|48.00|99840.00|800624061|'COASTAL ROOFING INC.'|coastal roofing|false
|Cobalt Scaffolding||||||||cobalt scaffolding|false
|Cole's Gutters & Roofing Services||||||||cole's gutters & roofing|false
Collis Roofing, Inc.|Collis Roofing||1.00|3.00|212.00|449904.00|593522977|'Collis Roofing, Inc.'|collis roofing|false
|Columbia Roofing And Sheet Metal||||||||columbia roofing and sheet metal|false
NM|Commercial Roofing||1.00|2.00|36.00|74370.00|850457633|'Commercial Roofing, LLC.'|commercial roofing|false
|commercial roofing & waterproofing hawaii||||||||commercial roofing & waterproofing hawaii|false
|Commercial Roofing Contractor||||||||commercial roofing contractor|false
|Commercial Roofing Contractors / Crc Home Services||||||||commercial roofing contractors / crc home|false
NM|Commercial Roofing Services||1.00|2.00|36.00|74370.00|850457633|'Commercial Roofing, LLC.'|commercial roofing|false
|Complete Roofing & Building Services||||||||complete roofing & building|false
|Complete Roofing Contractors||||||||complete roofing|false
|Complete Roofing Services||||||||complete roofing|false
|Complete Roofing Services (Scotland)||||||||complete roofing services (scotland)|false
Corporate|Congoleum||1.00|2.00|43.00|89440.00|020398678|'Congoleum Corporation'|congoleum|false
|Conner Roofing||||||||conner roofing|false
|Contractor BG||||||||contractor bg|false
|Contractors Roofing & Supply Co.||||||||contractors roofing & supply|false
|Contractors Siding, Windows & Roofing Supply||||||||contractors siding, windows & roofing supply|false
|Coopers Roofing Contractors||||||||coopers roofing|false
|Core Roofing Systems||||||||core roofing|false
|Corey Construction||||||||corey|false
Plygem|Cornerstone Construction||1.00|3.00|311.00|617136.00|430799731|'Cornerstone'|cornerstone|true
Resolutions Hospice Austin|Cornerstone Construction||1.00|2.00|38.00|79040.00|834197584|'Cornerstone'|cornerstone|true
Apache - Cornerstone|Cornerstone Construction||1.00|2.00|10.00|20205.00|270626868|'Cornerstone'|cornerstone|true
Union Center DC|Cornerstone Construction||1.00|3.00|739.00|1500466.00||'Cornerstone Services INC.'|cornerstone|true
Monroe DC|Cornerstone Construction||1.00|2.00|130.00|233327.00||'Cornerstone Services Inc.'|cornerstone|true
Van Buren DC|Cornerstone Construction||1.00|2.00|30.00|65309.00||'Cornerstone Services INC.'|cornerstone|true
Trade Port DC|Cornerstone Construction||1.00|2.00|79.00|133885.00||'Cornerstone Services Inc.'|cornerstone|true
Cornerstone Management (establishment)|Cornerstone Construction||1.00|2.00|158.00|244598.00|301166683|'Cornerstone Management Services'|cornerstone|true
Cotton Commercial USA|Cotton Holdings||1.00|3.00|831.00|1797739.00|202702810|'Cotton Holdings'|cotton|true
COTTON PARTNERS LLC|Cotton Holdings||1.00|2.00|23.00|45717.00|200800225|'COTTON PARTNERS LLC'|cotton|true
|Cousins Building And Roofing Services||||||||cousins building and roofing|false
|Coventry & Warwickshire Building & Roofing Services||||||||coventry & warwickshire building & roofing|false
|Cr Roofing Services||||||||cr roofing|false
|Cra Roofing Specialist||||||||cra roofing specialist|false
Craftsman Roofing Services Inc|Craftsman Roofing Services||1.00|2.00|44.00|32939.00|851268037|'Craftsman Roofing Services Inc'|craftsman roofing|false
|Cram Roofing||||||||cram roofing|false
|Crest Brick Slate and Tile||||||||crest brick slate and tile|false
|Cresta Roofing Services||||||||cresta roofing|false
|CRH Insulation Europe||||||||crh insulation europe|false
|CRM Roofing||||||||crm roofing|false
|Crown Industrial Roofing||||||||crown industrial roofing|false
