"id","company_name","establishment_name","ein","street_address","city","state","zip_code","naics_code","industry_description","annual_average_employees","total_hours_worked","no_injuries_illnesses","total_deaths","total_dafw_cases","total_djtr_cases","total_other_cases","total_dafw_days","total_djtr_days","total_injuries","total_poisonings","total_respiratory_conditions","total_skin_disorders","total_hearing_loss","total_other_illnesses","establishment_id","establishment_type","size","year_filing_for","created_timestamp","change_reason"
1302170,"BEST Contracting Services Inc","BEST Contracting Services Inc","953781209","19027 S Hamilton Avenue","Gardena","CA","90248",238160," Roofing contractors ",611,1199687,1,0,3,9,2,333,460,14,0,0,0,0,0,359037,1,3,2020,2/26/2021 23:21:29,
1304586,"Thomas Brown & Son Roofing","2333_4270","382114736","700 Third St.","Bay City","MI","48708",238160,,21,29965,2,0,0,0,0,0,0,0,0,0,0,0,0,567545,1,2,2020,2/27/2021 2:56:10,
1307191,"Mudd Brothers Inc.","4495_13009","850342171","3005 2ND STREET NW","ALBUQUERQUE","NM","87107",238160,,30,64800,1,0,2,0,3,181,0,5,0,0,0,0,0,713529,1,2,2020,3/1/2021 20:11:12,
1311886,"Apex Exteriors, Inc.","Apex Exteriors Inc. HQ","263707762","1655 Shanahan Drive","South Elgin","IL","60177",238160,"Roofing Contractors",73,169551,1,0,0,2,4,0,15,6,0,0,0,0,0,477001,1,2,2020,3/3/2021 5:06:01,
1312247,"Arry's Roofing Services, Inc.","Arry's Roofing Services Inc.","593014507","401 E Spruce St.","Tarpon Springs","FL","34689",238160," Roofing contractors ",160,332800,1,0,2,6,0,111,170,8,0,0,0,0,0,716725,1,2,2020,3/3/2021 6:31:27,
1312268,"Crabapple Roofing Contractors LLC","Crabapple Roofing Contractors LLC","272382332","3440 Oakcliff Rd.","Doraville","GA","30340",238160,"Roofing contractors ",31,54394,2,0,0,0,0,0,0,0,0,0,0,0,0,717084,1,2,2020,3/3/2021 6:32:04,
1312294,"Whitco Roofing Inc.","Whitco Roofing Inc.","271843217","218 Ottley Drive Ne","Atlanta","GA","30324",238160,"Roofing contractors ",53,116807,1,0,1,0,0,28,0,1,0,0,0,0,0,717104,1,2,2020,3/3/2021 6:32:20,
1320937,"Westfall Construction","Kirk Westfall","593284490","5413 West Sligh Avenue","Tampa","FL","33634",238160,"Roofing",80,180000,1,0,0,3,0,0,206,3,0,0,0,0,0,727993,1,2,2020,3/5/2021 19:23:53,
1321804,"Restoration Builders","Restoration Builders, Inc.","301017193","3961 E. Chandler BLVD. Suite 111-168","Phoenix","AZ","85048",238160," Asphalt roof shingle installation ",257,554128,1,0,0,0,1,0,0,1,0,0,0,0,0,728957,1,3,2020,3/6/2021 16:41:39,
1322176,"Merit Contracting","Merit Contracting","411426936","4661 HADLEY VIEW CT NE","ROCHESTER","MN","55906",238160," Roofing contractors ",65,115501,1,0,0,8,0,0,79,8,0,0,0,0,0,728186,1,2,2020,3/8/2021 18:41:44,
1322628,"Mahan Slate Roofing Co., Inc.","Mahan Slate Roofing Co., Inc.",,"699 Silver St","Agawam","MA","01001",238160," Roofing contractors ",24,48276,1,0,1,1,0,180,5,2,0,0,0,0,0,88121,1,2,2020,3/8/2021 19:03:55,
1322669,"Guardian Operations LLC","Guardian Operations LLC","814469822","1400 West Main St Ste B","Auburn","WA","98001",238160," Roofing contractors ",75,165459,1,0,3,13,0,38,472,16,0,0,0,0,0,730102,1,2,2020,3/8/2021 19:05:17,
1322727,"Sechrist-Hall Company","Sechrist-Hall Company HGN","741339981","2826 W Expressway 83","Harlingen","TX","78552",238160," Asphalt roof shingle installation ",25,49217,2,0,0,0,0,0,0,0,0,0,0,0,0,451674,1,2,2020,3/8/2021 19:06:58,
