company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|website|match_company_name|stripped_company_name|company_name_multiple_match
Clayton Roofing Contractor|||||||claytonroofingcontractor.com||clayton roofing contractor|false
CLC Commercial Roofing|||||||www.clccommercialroofing.com||clc commercial roofing|false
Clover Roofing Services|||||||cloverroofing.co.uk||clover roofing|false
Cls Roofing Specialists|||||||clsroofingspecialists.co.uk||cls roofing specialists|false
Clydevalley Roofing & Cladding Services|||||||unknown||clydevalley roofing & cladding|false
CMAC Roofing|||||||cmacroofing.com||cmac roofing|false
Cmh Leadwork And Roofing Services|||||||cmhleadwork.co.uk||cmh leadwork and roofing|false
CMR Construction & Roofing|||||||www.cmrconstruction.com||cmr construction & roofing|false
CNY Roofing|||||||www.cnyroofingco.com||cny roofing|false
Coast To Coast Roofing & Building Contractors|||||||c2croofs.com||coast to coast roofing & building|false
Coastal Construction Roofing & Restoration|||||||www.ccrrllc.com||coastal construction roofing & restoration|false
Coastal Roofing Services|||||||coastalrga.com||coastal roofing|false
Cobalt Scaffolding|||||||ems-scaffoldingandroofing.co.uk||cobalt scaffolding|false
Cole's Gutters & Roofing Services|||||||colesguttersandroofingservices.uk||cole's gutters & roofing|false
Collis Roofing||1|22|175|364000|593522977|www.collisroofing.com|'Collis Roofing, Inc.'|collis roofing|false
Columbia Roofing And Sheet Metal|||||||reroofnow.com||columbia roofing and sheet metal|false
Commercial Roofing||1|42|89|193096|742715753, 850457633|www.commercial-roofing.com|'COMMERCIAL ROOFING SYSTEMS, INC'|commercial roofing|true
commercial roofing & waterproofing hawaii||1|43|153|272621|260709164, 912175749, 990301791|commercialroofinginc.com|'Commercial Roofing & Waterproofing Hawaii, Inc.'|commercial roofing & waterproofing hawaii|false
Commercial Roofing Contractor|||||||www.yourcommercialroofer.com||commercial roofing contractor|false
Commercial Roofing Contractors / Crc Home Services|||||||410roofthis.com||commercial roofing contractors / crc home|false
Commercial Roofing Services||1|42|89|193096|742715753, 850457633|www.commercial-roofing.com|'COMMERCIAL ROOFING SYSTEMS, INC'|commercial roofing|true
Complete Roofing & Building Services|||||||unknown||complete roofing & building|false
Complete Roofing Contractors|||||||completeroofingcontractors.com||complete roofing|false
Complete Roofing Services|||||||completeroofingcontractors.com||complete roofing|false
Complete Roofing Services (Scotland)|||||||completeroofingcontractors.com||complete roofing|false
Congoleum|||||||www.congoleum.com||congoleum|false
Conner Roofing|||||||connerroofing.com||conner roofing|false
Contractor BG|||||||www.contractorbg.com||contractor bg|false
